Sample,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
200,-128424,-8388608,5317453,6096292,-1046248,-7625497,466863,1030701
201,-128714,-8388608,5317364,6096138,-1046021,-7625267,467056,1031334
202,-129014,-8388608,5317242,6095998,-1045818,-7624879,467209,1031901
203,-129313,-8388608,5317110,6095845,-1045594,-7624115,467391,1032461
204,-129582,-8388608,5316982,6095714,-1045399,-7623025,467516,1032929
205,-129666,-8388608,5316806,6095571,-1045221,-7622157,467546,1033124
206,-129664,-8388608,5316619,6095400,-1045099,-7621359,467556,1033109
207,-129686,-8388608,5316472,6095257,-1044963,-7620462,467561,1033132
208,-129644,-8388608,5316314,6095148,-1044868,-7619202,467521,1033032
209,-129630,-8388608,5316109,6095001,-1044772,-7617560,467518,1032953
210,-129509,-8388608,5315888,6094858,-1044689,-7616183,467454,1032671
211,-129246,-8388608,5315674,6094708,-1044654,-7615205,467302,1032121
212,-128942,-8388608,5315428,6094569,-1044611,-7614714,467139,1031573
213,-128531,-8388608,5315252,6094417,-1044576,-7614332,466965,1030982
214,-128110,-8388608,5315084,6094279,-1044559,-7613981,466768,1030306
215,-127925,-8388608,5314939,6094198,-1044542,-7613841,466655,1030002
216,-127871,-8388608,5314827,6094171,-1044534,-7613747,466583,1029937
217,-127999,-8388608,5314779,6094164,-1044484,-7613498,466599,1030218
218,-128299,-8388608,5314739,6094181,-1044494,-7613056,466673,1030799
219,-128574,-8388608,5314714,6094203,-1044497,-7612712,466762,1031271
220,-128836,-8388608,5314641,6094226,-1044484,-7612514,466783,1031670
221,-129091,-8388608,5314507,6094283,-1044470,-7612467,466843,1032144
222,-129159,-8388608,5314389,6094318,-1044517,-7612588,466851,1032329
223,-129156,-8388608,5314288,6094362,-1044591,-7612714,466776,1032249
224,-129118,-8388608,5314168,6094370,-1044656,-7612797,466686,1032116
225,-129074,-8388608,5314063,6094365,-1044729,-7612979,466654,1032139
226,-129048,-8388608,5313972,6094413,-1044835,-7613250,466639,1032206
227,-128819,-8388608,5313898,6094455,-1044982,-7613453,466544,1031955
228,-128532,-8388608,5313804,6094428,-1045118,-7613497,466352,1031388
229,-128192,-8388608,5313671,6094423,-1045208,-7613587,466079,1030636
230,-127774,-8388608,5313494,6094433,-1045297,-7613647,465766,1029845
231,-127372,-8388608,5313367,6094430,-1045405,-7613688,465464,1029076
232,-127204,-8388608,5313264,6094459,-1045539,-7613864,465335,1028800
233,-127211,-8388608,5313231,6094549,-1045688,-7614205,465404,1029007
234,-127377,-8388608,5313286,6094624,-1045777,-7614200,465482,1029354
235,-127620,-8388608,5313248,6094713,-1045857,-7614012,465516,1029797
236,-127887,-8388608,5313189,6094788,-1045951,-7614037,465629,1030348
237,-128122,-8388608,5313161,6094851,-1046037,-7614237,465764,1030942
238,-128311,-8388608,5313108,6094931,-1046150,-7614476,465838,1031338
239,-128307,-8388608,5313073,6095006,-1046261,-7614538,465732,1031176
